frame,true_person_count,fake_person_count,dataset_x,yolo_count,yolo_max_conf,yolo_decision,dataset_y,llava_count,llava_confidence,llava_scene
frame_0188.jpg,5,1,part1,1,0.6580237150192261,person,part1,2,0.95,"The image depicts an urban scene with two visible pedestrians walking or standing on the sidewalk of a city street. The car's side mirror reflects another person, but this is not an actual pedestrian and should be rejected."
frame_0189.jpg,3,1,part1,4,0.7887024283409119,person,part1,4,0.95,"The image depicts a busy urban street scene with multiple pedestrians and vehicles. The focus is on the people in motion, with one individual walking towards the camera and another person standing on the sidewalk. There are no mannequins or posters with human images visible in this frame. The confidence level for detecting humans is high due to the clear visibility of the individuals and their distinct human features."
frame_0363.jpg,5,1,part1,3,0.7195034623146057,person,part1,2,0.85,"The image depicts an urban scene with two visible pedestrians: one walking on the left side of the street and another standing on the right side near a building. There is also a reflection of a person in the glass, which has been marked as rejected due to its low confidence score. Additionally, there are vehicle parts that resemble human figures, but they have been marked as rejected with a lower confidence score."
frame_0364.jpg,7,1,part1,5,0.7428023219108582,person,part1,0,0.8,This scene appears to be an urban street with buildings and trees. There are no visible pedestrians in this image based on the given criteria.
frame_0365.jpg,6,1,part1,4,0.7890533804893494,person,part1,3,0.85,"The image depicts an urban scene with three pedestrians visible: one adult walking on the left side of the street, another adult standing on the right side, and a child walking on the left. There is also a reflection in the car window that appears to be a person, but this is not a real human and is therefore considered rejected. Additionally, there is a statue visible in the background, which is an inanimate object designed to resemble a human, and thus is also considered rejected."
frame_0366.jpg,6,1,part1,4,0.7522803544998169,person,part1,2,0.95,"The image depicts an urban scene with two pedestrians visible. On the left side of the image, there is an adult walking away from the camera. On the right side, there is another adult standing near a building. There are no mannequins or statues present in the image. The car part visible on the right side of the image has been identified and rejected as not being a human."
frame_0366.jpg,6,1,part1,4,0.7522803544998169,person,video1,2,0.75,"This scene appears to be taken on an urban street with shops and pedestrians. There are two visible individuals: one walking away from the camera, and another standing in front of a store window. The image also includes a poster of a person in the store window, which is not a real human but has been included as it may have initially been mistaken for a person due to its placement and the context of the scene."
frame_0366.jpg,6,1,video1,5,0.8968929052352905,person,part1,2,0.95,"The image depicts an urban scene with two pedestrians visible. On the left side of the image, there is an adult walking away from the camera. On the right side, there is another adult standing near a building. There are no mannequins or statues present in the image. The car part visible on the right side of the image has been identified and rejected as not being a human."
frame_0366.jpg,6,1,video1,5,0.8968929052352905,person,video1,2,0.75,"This scene appears to be taken on an urban street with shops and pedestrians. There are two visible individuals: one walking away from the camera, and another standing in front of a store window. The image also includes a poster of a person in the store window, which is not a real human but has been included as it may have initially been mistaken for a person due to its placement and the context of the scene."
frame_0366.jpg,2,5,part1,4,0.7522803544998169,person,part1,2,0.95,"The image depicts an urban scene with two pedestrians visible. On the left side of the image, there is an adult walking away from the camera. On the right side, there is another adult standing near a building. There are no mannequins or statues present in the image. The car part visible on the right side of the image has been identified and rejected as not being a human."
frame_0366.jpg,2,5,part1,4,0.7522803544998169,person,video1,2,0.75,"This scene appears to be taken on an urban street with shops and pedestrians. There are two visible individuals: one walking away from the camera, and another standing in front of a store window. The image also includes a poster of a person in the store window, which is not a real human but has been included as it may have initially been mistaken for a person due to its placement and the context of the scene."
frame_0366.jpg,2,5,video1,5,0.8968929052352905,person,part1,2,0.95,"The image depicts an urban scene with two pedestrians visible. On the left side of the image, there is an adult walking away from the camera. On the right side, there is another adult standing near a building. There are no mannequins or statues present in the image. The car part visible on the right side of the image has been identified and rejected as not being a human."
frame_0366.jpg,2,5,video1,5,0.8968929052352905,person,video1,2,0.75,"This scene appears to be taken on an urban street with shops and pedestrians. There are two visible individuals: one walking away from the camera, and another standing in front of a store window. The image also includes a poster of a person in the store window, which is not a real human but has been included as it may have initially been mistaken for a person due to its placement and the context of the scene."
frame_0367.jpg,7,1,part1,3,0.7252192497253418,person,part1,2,0.95,"The image shows an urban street scene with two pedestrians visible. The person on the right is walking, while the person on the left appears to be standing still. There are no mannequins or posters with human images that can be confidently identified in this image. The car's front end is distorted and could be mistaken for a person, but it's clear from the context of the scene that it's not a human."
frame_0367.jpg,7,1,part1,3,0.7252192497253418,person,video1,3,0.85,"This scene depicts a typical urban street with pedestrians going about their day. There is a storefront with a poster of a person, which is likely an advertisement or promotional material for a product or service related to fashion or beauty. The people in the image appear to be engaged in various activities such as walking on the sidewalk and standing in front of the store. The presence of a handbag suggests that this area might be a commercial district with shops and boutiques."
frame_0367.jpg,7,1,video1,2,0.918913185596466,person,part1,2,0.95,"The image shows an urban street scene with two pedestrians visible. The person on the right is walking, while the person on the left appears to be standing still. There are no mannequins or posters with human images that can be confidently identified in this image. The car's front end is distorted and could be mistaken for a person, but it's clear from the context of the scene that it's not a human."
frame_0367.jpg,7,1,video1,2,0.918913185596466,person,video1,3,0.85,"This scene depicts a typical urban street with pedestrians going about their day. There is a storefront with a poster of a person, which is likely an advertisement or promotional material for a product or service related to fashion or beauty. The people in the image appear to be engaged in various activities such as walking on the sidewalk and standing in front of the store. The presence of a handbag suggests that this area might be a commercial district with shops and boutiques."
frame_0367.jpg,2,2,part1,3,0.7252192497253418,person,part1,2,0.95,"The image shows an urban street scene with two pedestrians visible. The person on the right is walking, while the person on the left appears to be standing still. There are no mannequins or posters with human images that can be confidently identified in this image. The car's front end is distorted and could be mistaken for a person, but it's clear from the context of the scene that it's not a human."
frame_0367.jpg,2,2,part1,3,0.7252192497253418,person,video1,3,0.85,"This scene depicts a typical urban street with pedestrians going about their day. There is a storefront with a poster of a person, which is likely an advertisement or promotional material for a product or service related to fashion or beauty. The people in the image appear to be engaged in various activities such as walking on the sidewalk and standing in front of the store. The presence of a handbag suggests that this area might be a commercial district with shops and boutiques."
